Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,I/O Register,uSRAM 1K,LSRAM 18K,PLLs and CCCs,Chip Globals,Row Global,SERDESIF Blocks,SERDESIF Lanes,EPCS,HPMS,10/100/1000 Ethernet,RCOSC_50MHZ
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_DEC_WA_10.DEC_10/Primitives,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_DEC_WA_10.DEC_10/UB/Primitives,36,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_DEC_WA_10.DEC_10/UB/UERR/Primitives,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_DEC_WA_10.DEC_10/URD/Primitives,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_DEC_WA_10.DEC_10/USYNC/Primitives,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_DEC_WA_10.WORD_ALIGNER_10_0/Primitives,575,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_ENC_10.ENC_10/Primitives,30,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_ENC_10.ENC_10/UD/Primitives,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_ENC_10.ENC_10/UD/URN/Primitives,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_ENC_10.ENC_10/UD/URN/UB0/UT1B1/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_ENC_10.ENC_10/UD/URN/UB1/UT2B0/Primitives,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_ENC_10.ENC_10/UF/Primitives,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/GEN_ENC_10.ENC_10/UK/Primitives,12,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_CorePCS/Core_PCS_0/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_EPCS_SERDES/EPCS_SERDES_IF_0/EPCS_SERDES_IF_0/Primitives,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0
CAEN_LINK_instance/I_EPCS_SERDES/EPCS_SERDES_IF_0/Primitives,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
CAEN_LINK_instance/I_EPCS_SERDES/epcs_rx_intf_0/Primitives,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_EPCS_SERDES/epcs_tx_intf_0/Primitives,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_EPCS_SERDES/epcs_tx_intf_2/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_EPCS_SERDES/rx_delay0/G_DLY1.1.I_BUFD_BUS/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_EPCS_SERDES/rx_delay0/G_DLY1.2.I_BUFD_BUS/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_EPCS_SERDES/rx_delay0/G_DLY1.3.I_BUFD_BUS/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_EPCS_SERDES/rx_delay0/G_DLY1.4.I_BUFD_BUS/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_FDIV/Primitives,45,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_a1500_interf/I_PXLIF/PXLIF_0/L1.fifo_corefifo_sync_scntr/Primitives,45,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_a1500_interf/I_PXLIF/PXLIF_0/Primitives,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_a1500_interf/I_PXLIF/PXLIF_0/RW1.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,36,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_a1500_interf/I_PXLOF/PXLOF_0/L1.fifo_corefifo_sync_scntr/Primitives,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_a1500_interf/I_PXLOF/PXLOF_0/Primitives,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_a1500_interf/I_PXLOF/PXLOF_0/RW1.UI_ram_wrapper_1/L3_syncnonpipe/Primitives,0,0,36,36,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_a1500_interf/Primitives,124,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_clint/Primitives,403,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/L31.U_corefifo_async/Primitives,99,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/L31.U_corefifo_async/Rd_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/L31.U_corefifo_async/Wr_corefifo_NstagesSync/Primitives,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/Primitives,28,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAEN_LINK_instance/I_conet_interf/I_RX/RL_0/R1.r_corefifo_resetSync/Primitives,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
